Make,Model,Year,MSRP,Front Wheel Size (in),SAE Net Horsepower @ RPM,Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Gas Mileage,Drivetrain,Passenger Capacity,Passenger Doors,Body Style,name
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_aKM.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_AlB.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_bMN.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_BNT.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_dsv.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_Dvv.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_EdX.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_fCv.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_gai.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_GEB.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_ggI.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_igK.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_iGp.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_iwL.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_izS.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_LbD.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_Lps.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_LyP.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_mWi.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_MxR.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_NRM.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_OWY.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_pCo.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_Pkl.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_pYA.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_qIn.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_QqH.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_rAb.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_Rgt.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_Tdj.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_TJH.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_UvC.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_vur.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_VYX.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_VZj.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_wez.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_wlU.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_xfl.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_yRJ.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_zEW.jpg
Toyota,4Runner,2011,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2011_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_ZSR.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_adA.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_blZ.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_iqL.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_lQZ.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_mLj.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_nVm.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_Obe.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_rAv.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_sTS.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_vBO.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_WkO.jpg
Toyota,4Runner,2012,40,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2012_40_20_270_40_6_75_70_189_17_4WD_5_4_SUV_zez.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_AOd.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_BEZ.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_bhi.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_ide.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_jhF.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_jVn.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_LmU.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_LvI.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_nDp.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_VEh.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_wgX.jpg
Toyota,4Runner,2013,41,20,270,40,6,75,70,189,17,4WD,5,4,SUV,Toyota_4Runner_2013_41_20_270_40_6_75_70_189_17_4WD_5_4_SUV_wjW.jpg
